"Riga","Colonna","Colonna_Nome","Valore_Imputato"
3,55,"X0.0...56",14018.1693406983
4,55,"X0.0...56",17201.0875388328
5,55,"X0.0...56",17156.6901919816
8,55,"X0.0...56",17038.2931451388
9,55,"X0.0...56",8159.77660477071
10,55,"X0.0...56",16212.1410977738
11,55,"X0.0...56",12009.0178595869
12,55,"X0.0...56",10839.7726044945
13,55,"X0.0...56",9912.94879821902
14,55,"X0.0...56",16767.6223823255
15,55,"X0.0...56",12514.9160212378
16,55,"X0.0...56",17114.8603911473
17,55,"X0.0...56",17093.845714128
18,55,"X0.0...56",9731.19890483955
19,55,"X0.0...56",17025.7157916297
20,55,"X0.0...56",17237.0574893026
21,55,"X0.0...56",12694.3030781796
22,55,"X0.0...56",17083.276491165
23,55,"X0.0...56",16228.8350291452
25,55,"X0.0...56",9283.62907906143
26,55,"X0.0...56",17200.313930497
29,55,"X0.0...56",9407.99028105056
8,56,"X70499.0",22510.8150819308
9,56,"X70499.0",16724.6218986271
11,56,"X70499.0",23207.1690766176
13,56,"X70499.0",22639.5362024133
17,56,"X70499.0",23105.4872804291
22,56,"X70499.0",22856.4452906749
23,56,"X70499.0",21877.742974397
25,56,"X70499.0",5521.82875281719
29,56,"X70499.0",22916.6066451564
4,57,"X778960.0",61394.8418108734
25,57,"X778960.0",62593.383637752
29,57,"X778960.0",65165.6255270243
1,58,"X0.0...59",31837.3316961832
2,58,"X0.0...59",32347.0846923562
5,58,"X0.0...59",31589.1318655301
6,58,"X0.0...59",29957.470202844
8,58,"X0.0...59",23204.4762709724
9,58,"X0.0...59",32070.4083314535
10,58,"X0.0...59",32168.8284710814
11,58,"X0.0...59",17940.8447065748
12,58,"X0.0...59",13753.3647913735
13,58,"X0.0...59",32104.4409307852
14,58,"X0.0...59",21792.539838245
16,58,"X0.0...59",31708.8586883049
17,58,"X0.0...59",32040.9614899341
18,58,"X0.0...59",23993.1755141984
19,58,"X0.0...59",32034.9866884636
21,58,"X0.0...59",31688.6055235319
22,58,"X0.0...59",28935.1324861857
23,58,"X0.0...59",17574.2790197358
24,58,"X0.0...59",32168.2892384696
25,58,"X0.0...59",16006.9432262694
26,58,"X0.0...59",32204.3536347524
27,58,"X0.0...59",26278.1612695366
29,58,"X0.0...59",19365.4975154828
1,60,"X153510.0",7813.05374654613
6,60,"X153510.0",5608.11388136628
7,60,"X153510.0",7798.720941763
14,60,"X153510.0",7806.64137503216
15,60,"X153510.0",7633.04750013121
19,60,"X153510.0",7732.2912167283
22,60,"X153510.0",7607.20943541176
24,60,"X153510.0",7533.93397717268
25,60,"X153510.0",7495.42663023819
29,60,"X153510.0",7767.93986639023
18,61,"X238060.0",21689.8963513869
22,61,"X238060.0",21658.6812623712
26,61,"X238060.0",21753.2538979487
28,61,"X238060.0",19810.2983164948
29,61,"X238060.0",21200.2994317206
2,62,"X0.0...63",18141.0217993878
3,62,"X0.0...63",5370.90537474453
4,62,"X0.0...63",18963.5043755124
5,62,"X0.0...63",15514.9334454242
8,62,"X0.0...63",20792.2757074333
9,62,"X0.0...63",21693.2366232358
10,62,"X0.0...63",18339.3895138357
11,62,"X0.0...63",3961.13465285283
13,62,"X0.0...63",21619.3482267938
16,62,"X0.0...63",7958.74723672778
18,62,"X0.0...63",14426.5889628101
19,62,"X0.0...63",21365.6342087133
21,62,"X0.0...63",21684.2672776179
22,62,"X0.0...63",20340.3763558346
23,62,"X0.0...63",21400.4637076048
24,62,"X0.0...63",21195.5188966631
26,62,"X0.0...63",19981.8035614251
27,62,"X0.0...63",21162.9877155344
28,62,"X0.0...63",21516.8442857817
29,62,"X0.0...63",21380.0372740897
3,63,"X122910.0",28269.7385275475
4,63,"X122910.0",28291.1807377588
9,63,"X122910.0",7446.30250430343
13,63,"X122910.0",28840.351724162
15,63,"X122910.0",28708.0454677454
21,63,"X122910.0",29354.3645699447
23,63,"X122910.0",29087.9220600966
25,63,"X122910.0",28863.1033995215
8,64,"X102580.0",37827.8865068409
12,64,"X102580.0",37694.4609766403
13,64,"X102580.0",36551.2989474768
14,64,"X102580.0",34887.1913491279
19,64,"X102580.0",37022.0604363302
25,64,"X102580.0",14305.6027378696
29,64,"X102580.0",36821.1083212902
12,65,"X479620.0",11061.3767556421
16,65,"X479620.0",10800.44690281
17,65,"X479620.0",10991.3711956429
19,65,"X479620.0",11211.3059227437
21,65,"X479620.0",11259.5905419083
22,65,"X479620.0",11238.6924732527
25,65,"X479620.0",10747.6198324443
26,65,"X479620.0",11022.8416513829
28,65,"X479620.0",10851.2956528247
29,65,"X479620.0",11189.0215505293
1,66,"X0.0...68",43513.1271735876
5,66,"X0.0...68",43536.1515272966
6,66,"X0.0...68",43551.9248366166
7,66,"X0.0...68",43487.6301958691
8,66,"X0.0...68",39384.9990051653
9,66,"X0.0...68",33647.442425349
10,66,"X0.0...68",43526.1718418954
11,66,"X0.0...68",35974.8075332406
12,66,"X0.0...68",30586.9641164407
13,66,"X0.0...68",43410.3401673889
14,66,"X0.0...68",42509.843812709
16,66,"X0.0...68",40546.4651469986
18,66,"X0.0...68",41539.2337866124
